filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6	tmt_7	tmt_8	tmt_9	tmt_10	tmt_11	tmt_12	tmt_13	tmt_14	tmt_15	tmt_16
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=73668	22.0	146744.14	98182.445	62363.164	134104.67	103914.375	124439.96	105756.54	77710.77	150198.67	51891.973	107726.5	128978.625	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=73735	22.0	256146.81	327750.62	101602.69	448421.06	165010.67	431097.8	161384.08	90120.32	353199.1	72891.14	227249.33	125956.055	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=73903	22.0	180413.7	134996.92	47369.3	303718.62	54879.84	237372.6	34651.484	50579.992	181628.2	33095.96	163797.53	52557.51	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=74290	22.0	522301.1	250056.53	265645.66	301156.8	210299.67	153859.97	304786.94	99507.62	136284.92	116370.89	135026.34	238550.81	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=74401	22.0	65727.45	51717.508	37998.914	59698.25	57644.63	45318.566	48926.383	0.0	47839.99	28592.838	58579.0	68710.86	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=74481	22.0	279693.62	195600.66	133819.0	217074.17	261377.67	156509.3	227206.75	166469.8	237870.4	135338.5	188514.42	156884.78	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=74564	22.0	66133.5	38869.33	30125.883	47075.996	44616.14	43888.484	53739.445	35809.22	42030.523	29950.035	43301.215	37973.72	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=74577	22.0	228993.27	164697.66	134376.56	161530.86	156026.22	127663.6	171177.58	120629.57	213839.84	105061.59	172420.72	145154.55	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=74641	22.0	96979.34	59238.086	44620.97	63936.547	52661.5	41153.363	45792.418	33407.605	70927.17	29908.543	58865.402	70918.61	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=74705	22.0	361627.25	218935.7	180447.86	250307.88	308876.16	224419.77	266824.4	165745.1	251969.58	141485.58	208675.27	123921.42	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=74759	13.936186	692319.2	478471.6	427052.16	503637.38	523696.44	387851.12	509303.1	404319.53	558340.56	415495.5	507318.8	612116.3	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=74882	22.0	121935.33	125159.23	33518.508	227870.98	49293.805	182340.67	54558.875	43531.1	185302.8	33055.816	132136.77	81877.586	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=74967	22.0	88307.1	55540.844	51157.414	104578.586	45104.26	80867.555	47516.39	29497.486	67730.85	28570.93	65116.945	51835.85	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=75056	22.0	38915.26	71118.81	15102.7	124707.12	17376.068	100551.57	11570.279	21476.38	92063.58	12254.18	62579.586	17906.867	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=75097	22.0	51580.863	32141.572	9833.134	63316.566	25174.75	51489.13	21336.318	21616.145	61453.133	23462.297	62087.21	30908.94	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=75651	22.0	150758.81	67416.27	76870.984	94877.94	92822.91	65987.23	100853.375	51997.42	66666.05	38992.41	69205.91	102554.6	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=75680	22.0	98262.75	57629.08	36363.96	52850.04	63885.246	53411.906	55129.86	38022.426	71258.305	40911.863	72255.375	67250.016	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=75727	22.0	304831.94	411566.16	162690.42	224509.36	228360.25	229306.16	335295.3	73728.695	211455.45	98078.695	175903.48	463719.06	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=75729	19.155409	882834.0	481081.12	473587.9	679367.2	837702.75	668369.25	660291.9	1404694.5	1148399.2	918783.1	949989.94	115389.24	35453.97	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=75737	22.0	202817.55	207162.48	104470.164	230398.44	183526.5	206873.8	145452.34	110497.91	222723.0	92034.62	218582.48	87782.695	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=75889	22.0	68082.61	41912.863	0.0	63078.285	22638.799	54202.035	23559.188	0.0	50721.188	0.0	55732.28	26910.533	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=75916	22.0	87562.54	83327.05	47947.36	54348.457	63445.93	47151.17	52680.035	42570.324	122362.94	26166.107	86287.805	75078.805	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=76329	22.0	145925.2	65295.37	75229.73	91840.86	87325.305	53412.207	79126.61	48468.938	70228.24	53410.188	67093.54	61725.098	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=76340	22.0	396456.75	194380.88	184848.17	247272.22	233323.03	185752.44	267579.88	137595.61	171002.11	138018.31	161998.47	226532.58	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=76369	22.0	154076.72	75425.234	79183.66	101938.62	77234.766	79474.64	107454.945	59109.53	81409.9	59902.37	98443.34	82244.76	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=76451	22.0	141589.84	134481.45	78880.805	147004.7	119159.58	131731.36	108908.96	79559.45	156131.33	66466.695	125492.11	85199.95	9319.135	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=76778	22.0	108867.95	55585.918	52610.766	74776.81	71199.086	51463.24	82768.45	39862.95	74522.59	53868.504	70247.91	89183.234	10504.221	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=76861	22.0	43086.35	29102.66	29698.672	32523.215	25616.57	27612.273	23348.14	13267.039	24693.736	15561.971	31645.346	29350.938	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=76887	22.0	33141.484	22648.205	12340.415	15037.379	13842.053	10048.558	17560.584	7643.471	13436.355	9894.357	19808.545	12816.143	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=76965	22.0	37185.406	13974.249	0.0	21267.732	18586.16	13441.89	30004.463	17848.178	31908.012	12926.296	22017.064	25314.576	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=77023	22.0	268109.4	121375.85	93928.57	136221.42	119458.33	81265.85	120754.75	81708.945	123994.13	73077.31	75666.28	152261.11	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=77118	22.0	250956.27	169801.3	110057.73	197509.64	163752.98	159477.86	155082.69	80977.68	150623.23	113842.13	178370.11	249174.17	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=77177	22.0	505626.38	225015.12	256221.75	296083.12	234004.52	167510.17	331717.0	195432.06	280987.3	239036.69	334633.5	240476.3	0.0	0.0	0.0	0.0
