filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=10890	100.0	135682.9	30673.63	174253.73	81010.266	37113.63	162249.12
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11091	100.0	550576.1	640378.8	423800.12	183687.19	172645.94	59438.484
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11199	79.541	1268430.1	90117.41	100577.74	42643.64	58250.363	29023.63
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11202	100.0	142234.05	72745.02	98819.38	66185.93	59701.273	46553.133
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11273	100.0	26453.494	40500.867	43465.785	26464.377	43687.44	39799.273
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11349	100.0	19618.45	24772.973	30339.209	19405.734	22458.252	17135.291
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11386	100.0	3678.2373	4143.855	6972.1	7415.5312	6501.9927	8009.491
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11622	100.0	125047.586	39177.11	44246.82	31618.766	29011.143	36114.715
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11641	100.0	11273.531	35151.508	47797.457	34821.676	30159.492	16102.964
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11744	100.0	38333.793	29685.654	39879.887	26593.045	28187.64	34311.24
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11800	74.142	147039.77	100550.0	118099.26	87370.85	69280.01	135600.77
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11850	26.295	1559717.2	754898.1	709802.0	432976.66	381702.7	86140.89
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=11872	77.407	132370.03	69527.32	80981.09	47070.918	41196.633	34105.08
